-START-OF-DATA-
        0.0  	0.6
	 3000.0		0.6
	 3000.0		0.1875
	 4000.0		0.1875
	 4000.0		0.0
    11571.43	0.0
	11571.43	0.1875
	12571.43	0.1875
	12571.43	0.0
	20142.86	0.0
	20142.86	0.1875
	21142.86	0.1875
	21142.86	0.0
	28714.29	0.0
	28714.29	0.1875
	29714.29	0.1875
	29714.29	0.0
	37285.71	0.0
	37285.71	0.1875
	38285.71	0.1875
	38285.71	0.0
	45857.14	0.0
	45857.14	0.1875
	46857.14	0.1875
	46857.14	0.0
	54428.57	0.0
	54428.57	0.1875
	55428.57	0.1875
	55428.57	0.0
	63000.00	0.0
	63000.00	0.1875
	64000.00	0.1875
	64000.00	0.0
999999999.0  0.0
-END-OF-DATA-

NOTE: units of PgC yr-1, hence scaling of factor 8.3333e+013 (to mol yr-1) needed in user-config file, i.e.:
bg_par_atm_force_scale_val_3=8.3333e+013

3000 PgC over 5 kyr @ -50 o/oo
=> 0. 6PgC yr-1
then starting immediately after:
1 kyr pulses of 1500/8 PgC (187.5 PgC) over 60 kyr (start of last minus start of first) @ -45 o/oo
=> 0.1875 PgC yr-1 and 8.571 kyr apart
