54899	0.012113	0.410064	5.930178
54898	0.012668	0.40878	6.109925
54897	0.013464	0.407337	0.015123
54896	0.014387	0.405763	0.216111
54895	0.015466	0.404087	0.434476
54894	0.016639	0.402338	0.661875
54893	0.017882	0.400558	0.897963
54892	0.019279	0.398784	1.152213
54891	0.020609	0.39706	1.405976
54890	0.022082	0.395439	1.671274
54889	0.023563	0.393968	1.943329
54888	0.025042	0.392703	2.218712
54887	0.026527	0.391698	2.501544
54886	0.02811	0.390994	2.784453
54885	0.029573	0.390633	3.075268
54884	0.031108	0.39064	3.3664
54883	0.032645	0.391022	3.659074
54882	0.034139	0.391776	3.956458
54881	0.035647	0.392887	4.252749
54880	0.037109	0.39432	4.550322
54879	0.038631	0.396034	4.850182
54878	0.040076	0.397982	5.148128
54877	0.041482	0.400102	5.447528
54876	0.04295	0.402341	5.745981
54875	0.04433	0.404636	6.044748
54874	0.045669	0.406921	0.059883
54873	0.047039	0.40914	0.356082
54872	0.048302	0.411232	0.654698
54871	0.049564	0.413129	0.950882
54870	0.050793	0.414787	1.247193
54869	0.051937	0.416155	1.543236
54868	0.053121	0.41719	1.839691
54867	0.054121	0.41787	2.135528
54866	0.055223	0.418177	2.431091
54865	0.056186	0.418099	2.728291
54864	0.05706	0.417652	3.024756
54863	0.057975	0.416848	3.322711
54862	0.058793	0.415718	3.62062
54861	0.059519	0.414302	3.920598
54860	0.060233	0.412641	4.220288
54859	0.060874	0.410783	4.521626
54858	0.061486	0.408786	4.824821
54857	0.061978	0.406701	5.12749
54856	0.062434	0.404588	5.432191
54855	0.062879	0.402509	5.738844
54854	0.063165	0.40052	6.044803
54853	0.063467	0.398675	0.070421
54852	0.06369	0.397031	0.378067
54851	0.063828	0.395629	0.688659
54850	0.063916	0.394509	0.998362
54849	0.063964	0.3937	1.307557
54848	0.063892	0.393214	1.619644
54847	0.0638	0.393049	1.929123
54846	0.0636	0.393198	2.239563
54845	0.063424	0.393635	2.549973
54844	0.063074	0.394332	2.85884
54843	0.062727	0.395254	3.168344
54842	0.062366	0.39636	3.476028
54841	0.061879	0.397606	3.783348
54840	0.061359	0.398953	4.090188
54839	0.060801	0.400357	4.394303
54838	0.060196	0.401781	4.700079
54837	0.05951	0.40319	5.002978
54836	0.05878	0.404545	5.304888
54835	0.058012	0.405816	5.607295
54834	0.057208	0.406976	5.907854
54833	0.056291	0.408002	6.208262
54832	0.055429	0.408879	0.223793
54831	0.05448	0.409598	0.523664
54830	0.053431	0.410156	0.821658
54829	0.05249	0.410554	1.119094
54828	0.051373	0.410798	1.416988
54827	0.050292	0.410897	1.71408
54826	0.049174	0.41086	2.010575
54825	0.048018	0.410699	2.306622
54824	0.046861	0.41042	2.603147
54823	0.045627	0.410033	2.897914
54822	0.044402	0.409542	3.193533
54821	0.043217	0.408956	3.487899
54820	0.041881	0.408283	3.782421
54819	0.040637	0.407535	4.075553
54818	0.039365	0.406723	4.368642
54817	0.038016	0.40586	4.66169
54816	0.036723	0.404964	4.953008
54815	0.035366	0.404051	5.242747
54814	0.034048	0.40314	5.535559
54813	0.032662	0.402249	5.82248
54812	0.031319	0.401392	6.110945
54811	0.029976	0.400584	0.115594
54810	0.028584	0.39984	0.399533
54809	0.027226	0.399174	0.684008
54808	0.025923	0.3986	0.964365
54807	0.024518	0.398135	1.24385
54806	0.023217	0.397795	1.521176
54805	0.021907	0.397596	1.791066
54804	0.020631	0.397559	2.062837
54803	0.019345	0.397698	2.326448
54802	0.018148	0.398027	2.581699
54801	0.016977	0.398553	2.838523
54800	0.015868	0.399273	3.078008
54799	0.014793	0.400175	3.31321
54798	0.013873	0.40124	3.537098
54797	0.013006	0.402436	3.748964
54796	0.012236	0.403731	3.946761
54795	0.011737	0.405081	4.134591
54794	0.011263	0.406443	4.310164
54793	0.011074	0.407775	4.479161
