57930	0.06	0.4051	3.1923	3.1923
57929	0.06	0.4056	3.4941	3.4941
57928	0.06	0.40604	3.7958	3.7958
57927	0.06	0.4064	4.1025	4.1025
57926	0.06	0.40669	4.403	4.403
57925	0.06	0.40688	4.7088	4.7088
57924	0.06	0.40699	5.0136	5.0136
57923	0.06	0.40701	5.3193	5.3193
57922	0.06	0.40695	5.625	5.625
57921	0.06	0.4068	5.9318	5.9318
57920	0.06	0.40659	6.241	6.241
57919	0.06	0.4063	0.26624	0.26624
57918	0.06	0.40596	0.57388	0.57388
57917	0.06	0.40556	0.8887	0.8887
57916	0.06	0.40512	1.1976	1.1976
57915	0.06	0.40465	1.5102	1.5102
57914	0.06	0.40415	1.8256	1.8256
57913	0.06	0.40364	2.1389	2.1389
57912	0.06	0.40311	2.4578	2.4578
57911	0.06	0.40259	2.7726	2.7726
57910	0.06	0.40208	3.0973	3.0973
57909	0.06	0.40159	3.4199	3.4199
57908	0.06	0.40112	3.7417	3.7417
57907	0.06	0.40069	4.076	4.076
57906	0.06	0.40031	4.4119	4.4119
57905	0.06	0.39998	4.7421	4.7421
57904	0.06	0.39973	5.098	5.098
57903	0.06	0.39954	5.4487	5.4487
57902	0.06	0.39945	5.818	5.818
57901	0.06	0.39945	6.2014	6.2014
57900	0.06	0.39956	0.31946	0.31946
57899	0.06	0.39977	0.76515	0.76515
57898	0.06	0.40011	1.2124	1.2124
57897	0.06	0.40055	1.7227	1.7227
57896	0.06	0.40111	2.2538	2.2538
57895	0.06	0.40178	2.7866	2.7866
57894	0.06	0.40254	3.3154	3.3154
57893	0.06	0.40338	3.794	3.794
57892	0.06	0.40429	4.2735	4.2735
57891	0.06	0.40524	4.6855	4.6855
57890	0.06	0.40621	5.0821	5.0821
57889	0.06	0.40718	5.4673	5.4673
57888	0.06	0.4081	5.8218	5.8218
57887	0.06	0.40897	6.1733	6.1733
57886	0.06	0.40975	0.22314	0.22314
57885	0.06	0.41041	0.55852	0.55852
57884	0.06	0.41094	0.88042	0.88042
57883	0.06	0.4113	1.196	1.196
57882	0.06	0.41149	1.5121	1.5121
57881	0.06	0.41149	1.825	1.825
57880	0.06	0.41129	2.1251	2.1251
57879	0.06	0.41089	2.4344	2.4344
57878	0.06	0.4103	2.7345	2.7345
57877	0.06	0.40952	3.0339	3.0339
57876	0.06	0.40857	3.3318	3.3318
57875	0.06	0.40747	3.6295	3.6295
57874	0.06	0.40626	3.9271	3.9271
57873	0.06	0.40496	4.22	4.22
57872	0.06	0.40361	4.5165	4.5165
57871	0.06	0.40224	4.8138	4.8138
57870	0.06	0.40091	5.1042	5.1042
57869	0.06	0.39964	5.4011	5.4011
57868	0.06	0.39847	5.6965	5.6965
57867	0.06	0.39744	5.988	5.988
57866	0.06	0.39659	0.001597	0.001597
57865	0.06	0.39594	0.29262	0.29262
57864	0.06	0.39551	0.58974	0.58974
