2.6044e-07	3.4253e-07	3.6198e-07	3.6715e-07	3.4044e-07	3.3327e-07	3.2526e-07	3.1962e-07	3.2064e-07	3.1258e-07	3.0574e-07	3.0291e-07	2.8808e-07	2.6898e-07	2.4161e-07	1.7242e-07	1.2753e-07	1.4665e-07
3.3631e-07	3.7057e-07	3.8236e-07	4.3242e-07	4.0054e-07	3.9222e-07	3.5223e-07	3.0734e-07	2.7257e-07	2.0876e-07	1.8002e-07	1.655e-07	1.5764e-07	1.5318e-07	1.3529e-07	2.0039e-07	2.3851e-07	2.8957e-07
3.3831e-07	3.3365e-07	3.4909e-07	3.5006e-07	2.7508e-07	0	0	0	0	0	0	0	0	0	0	4.6864e-07	3.8118e-07	3.5198e-07
2.4875e-07	2.5505e-07	2.7333e-07	2.4404e-07	1.9307e-07	0	0	0	0	0	0	0	0	0	0	2.1581e-07	2.3108e-07	2.4711e-07
1.3004e-07	1.4215e-07	1.3391e-07	1.2207e-07	9.3805e-08	1.7641e-07	2.8373e-07	3.8797e-07	5.2183e-07	3.3229e-07	4.1892e-07	5.3692e-05	0	0	0	1.0382e-07	9.6733e-08	1.1021e-07
1.3249e-07	1.4831e-07	1.8528e-07	2.0078e-07	2.2045e-07	3.5152e-07	4.5943e-07	5.8164e-07	7.2e-07	6.5328e-07	7.554e-05	7.6852e-05	0	0	0	1.2621e-07	1.2902e-07	1.2196e-07
1.9662e-07	2.1333e-07	2.3664e-07	2.7406e-07	3.4143e-07	4.785e-07	6.4002e-07	7.9709e-07	8.8772e-07	7.2841e-07	0.00011724	0.00011967	0	0	0	1.6897e-07	1.5669e-07	1.7907e-07
2.8976e-07	3.1043e-07	3.3843e-07	3.8146e-07	4.6146e-07	6.4445e-07	8.6843e-07	1.106e-06	1.2973e-06	1.2206e-06	0.00023137	0.00021363	0	0	0	2.1856e-07	2.3508e-07	2.649e-07
3.012e-07	3.2168e-07	3.4767e-07	3.8614e-07	4.6272e-07	6.4105e-07	8.7338e-07	1.1561e-06	1.4284e-06	1.5525e-06	0.00033649	0.00033303	0	0	0	2.4479e-07	2.4767e-07	2.7723e-07
3.0933e-07	3.2973e-07	3.5558e-07	3.9578e-07	4.7347e-07	6.5225e-07	8.9045e-07	1.1772e-06	1.4562e-06	1.5857e-06	0.00033429	0.000339	0	0	0	2.6717e-07	2.6099e-07	2.8581e-07
3.1424e-07	3.3632e-07	3.6584e-07	4.1036e-07	4.9361e-07	6.8033e-07	9.0896e-07	1.1546e-06	1.3556e-06	1.2839e-06	0.00022896	0.00022574	0	0	0	2.722e-07	2.637e-07	2.8914e-07
2.1754e-07	2.3578e-07	2.6101e-07	3.0032e-07	3.7065e-07	5.1227e-07	6.7974e-07	8.451e-07	9.4012e-07	7.7612e-07	0.00011381	0.00011451	0	0	0	2.0286e-07	1.781e-07	1.9935e-07
1.5566e-07	1.7795e-07	1.9758e-07	2.379e-07	2.6335e-07	3.6398e-07	4.9648e-07	6.2664e-07	7.3899e-07	7.8598e-07	7.3045e-05	7.246e-05	0	0	0	1.6051e-07	1.7461e-07	1.6956e-07
1.5494e-07	1.7523e-07	1.7064e-07	1.6142e-07	1.2212e-07	2.0496e-07	3.1352e-07	4.2523e-07	6.7914e-07	3.7692e-07	4.242e-07	5.3592e-05	0	0	0	1.2815e-07	1.1839e-07	1.4128e-07
3.061e-07	3.2049e-07	3.4658e-07	3.271e-07	2.5366e-07	0	0	0	0	0	0	0	0	0	0	2.4021e-07	2.6709e-07	2.9266e-07
4.2079e-07	4.8202e-07	4.9491e-07	4.5193e-07	3.8779e-07	0	0	0	0	0	0	0	0	0	0	5.1509e-07	4.3686e-07	4.2651e-07
3.828e-07	4.5435e-07	5.0468e-07	5.0828e-07	4.8583e-07	4.7174e-07	4.5319e-07	4.4576e-07	4.1978e-07	3.8131e-07	3.5545e-07	3.3554e-07	3.1886e-07	2.533e-07	2.2171e-07	3.0655e-07	3.159e-07	3.4424e-07
4.4966e-07	4.5343e-07	4.5137e-07	4.5016e-07	4.4119e-07	4.3995e-07	4.3366e-07	4.318e-07	4.3383e-07	4.4115e-07	4.4449e-07	4.4761e-07	4.4688e-07	4.4501e-07	4.3881e-07	4.3762e-07	4.4789e-07	4.4678e-07
