  0.3979  0.3874  0.3861  0.3684  0.3497  0.3528  0.3697  0.3808  0.3902  0.3954  0.3798  0.3743  0.3494  0.3420  0.3307  0.3611  0.3647  0.3892
  0.4144  0.4004  0.3998  0.3877  0.3145  0.3000  0.3467  0.3847  0.3688  0.3595  0.3437  0.3558  0.3446  0.3264  0.3197  0.3404  0.4019  0.4325
  0.3793  0.3383  0.3164  0.3473  0.2972  0.2893  0.3268  0.3555  0.3472  0.3343  0.3446  0.3522  0.3528  0.3019  0.2796  0.3200  0.3950  0.4043
  0.3057  0.2798  0.2577  0.2723  0.2612  0.2836  0.3091  0.3261  0.2940  0.2741  0.3028  0.2886  0.2600  0.2422  0.2246  0.2649  0.3237  0.3237
  0.2295  0.2282  0.2266  0.2380  0.2532  0.2732  0.2745  0.2409  0.2024  0.2256  0.2378  0.2236  0.2086  0.2098  0.2074  0.2333  0.2362  0.2310
  0.2128  0.2220  0.2329  0.2470  0.2396  0.2104  0.2110  0.1849  0.1856  0.2043  0.2356  0.2095  0.1769  0.2065  0.2126  0.1826  0.1952  0.2034
  0.2179  0.2251  0.2467  0.2290  0.1939  0.1648  0.1718  0.1599  0.1964  0.2367  0.2245  0.2349  0.1610  0.2030  0.1821  0.1723  0.1949  0.2102
  0.2315  0.2547  0.2838  0.2698  0.2005  0.1494  0.1578  0.1686  0.2053  0.2244  0.2281  0.2372  0.1847  0.2351  0.2086  0.1939  0.2143  0.2258
  0.2199  0.2216  0.2416  0.2408  0.2192  0.2235  0.2244  0.1929  0.2442  0.2502  0.2211  0.2045  0.2459  0.2242  0.2520  0.2286  0.2384  0.2338
  0.2061  0.1863  0.1910  0.1992  0.2172  0.2338  0.2402  0.1754  0.1849  0.2737  0.2642  0.2095  0.3117  0.2158  0.1947  0.2360  0.2467  0.2348
  0.2124  0.1654  0.1666  0.2116  0.2272  0.1868  0.2337  0.2212  0.1658  0.2241  0.2482  0.2032  0.2334  0.1931  0.1926  0.2177  0.2326  0.2410
  0.2312  0.2079  0.1894  0.2008  0.2122  0.1754  0.2364  0.2393  0.1755  0.2144  0.2080  0.1695  0.1710  0.1780  0.1913  0.2007  0.2079  0.2278
  0.2472  0.2543  0.2410  0.2168  0.2099  0.1958  0.2419  0.2539  0.1862  0.2038  0.2029  0.1761  0.1840  0.1840  0.2016  0.2083  0.2121  0.2294
  0.2464  0.2665  0.2743  0.2579  0.2373  0.2020  0.2430  0.2496  0.2182  0.2362  0.2211  0.2279  0.2297  0.2230  0.2149  0.1926  0.2096  0.2234
  0.2789  0.2941  0.3021  0.3009  0.2910  0.2675  0.2659  0.2615  0.2691  0.2668  0.2801  0.2795  0.2880  0.2915  0.2670  0.2631  0.2285  0.2675
  0.3793  0.3726  0.3670  0.3635  0.3567  0.3458  0.3113  0.3428  0.3486  0.3262  0.3244  0.3450  0.3498  0.3517  0.3804  0.3427  0.3234  0.3758
  0.4214  0.4245  0.4205  0.4243  0.4161  0.3939  0.3677  0.4119  0.4308  0.4243  0.4173  0.4085  0.3988  0.3869  0.3871  0.3751  0.4014  0.4221
  0.4285  0.4299  0.4268  0.4195  0.4001  0.3769  0.3959  0.4097  0.4073  0.4060  0.4004  0.3841  0.3878  0.4000  0.3799  0.3781  0.3876  0.4182
