  0.6430  0.6613  0.6608  0.6603  0.6530  0.6279  0.6216  0.6184  0.6122  0.6138  0.6311  0.6450  0.6481  0.6408  0.6262  0.6185  0.6035  0.5997  0.5980  0.5939  0.5840  0.5760  0.5733  0.5715  0.5685  0.5672  0.5718  0.5858  0.5990  0.6078  0.6081  0.6116  0.6078  0.6265  0.6367  0.6332
  0.5836  0.5684  0.5601  0.5558  0.5509  0.5503  0.5582  0.6225  0.6120  0.5685  0.5576  0.5762  0.5986  0.5825  0.5589  0.5603  0.5587  0.5553  0.5601  0.5658  0.5641  0.5650  0.5716  0.5646  0.5447  0.5301  0.5393  0.5625  0.5806  0.5924  0.5761  0.5777  0.5833  0.5886  0.5939  0.5956
  0.5209  0.5099  0.5063  0.5053  0.4980  0.4962  0.4903  0.4967  0.5141  0.5382  0.5058  0.5160  0.5743  0.5655  0.5707  0.5824  0.5783  0.5608  0.5533  0.5507  0.5480  0.5453  0.5475  0.5481  0.5362  0.5271  0.5298  0.5339  0.5273  0.5395  0.5778  0.5865  0.5798  0.5669  0.5508  0.5352
  0.4955  0.4894  0.4817  0.4823  0.4680  0.4759  0.4623  0.4663  0.4588  0.4643  0.4448  0.4823  0.5479  0.5392  0.5400  0.5257  0.5280  0.5294  0.5278  0.5323  0.5346  0.5193  0.5149  0.5136  0.5087  0.5019  0.5004  0.5107  0.5002  0.5219  0.5497  0.5619  0.5737  0.5607  0.5044  0.4924
  0.4798  0.4762  0.4560  0.4571  0.4312  0.4408  0.4252  0.4312  0.4432  0.3947  0.3573  0.4277  0.4673  0.4542  0.4448  0.4300  0.4383  0.4593  0.4743  0.4729  0.4685  0.4609  0.4581  0.4424  0.4421  0.4352  0.4320  0.4441  0.4450  0.4710  0.5045  0.5222  0.5258  0.4768  0.4721  0.4766
  0.4427  0.4375  0.4060  0.4038  0.3755  0.3765  0.3627  0.3609  0.3789  0.3326  0.2854  0.3470  0.3685  0.3646  0.3512  0.3474  0.3621  0.3759  0.4039  0.4109  0.4006  0.3966  0.3917  0.3794  0.3716  0.3665  0.3731  0.3803  0.3862  0.4249  0.4581  0.4465  0.4530  0.4339  0.4496  0.4556
  0.3856  0.3780  0.3525  0.3484  0.3258  0.3204  0.3093  0.2941  0.2933  0.2689  0.2435  0.2804  0.2907  0.2866  0.2734  0.2764  0.3004  0.3106  0.3365  0.3622  0.3558  0.3438  0.3338  0.3228  0.3069  0.2999  0.3131  0.3235  0.3364  0.3848  0.3972  0.3710  0.4012  0.4085  0.4158  0.4102
  0.3329  0.3282  0.3149  0.3124  0.2984  0.2915  0.2845  0.2651  0.2522  0.2358  0.2230  0.2307  0.2391  0.2343  0.2256  0.2311  0.2552  0.2684  0.2910  0.2970  0.2970  0.2973  0.2863  0.2665  0.2524  0.2510  0.2614  0.2701  0.2953  0.3542  0.3439  0.3174  0.3517  0.3636  0.3632  0.3530
  0.2966  0.2985  0.2905  0.2931  0.2866  0.2828  0.2805  0.2651  0.2525  0.2303  0.2141  0.1933  0.2064  0.2091  0.2044  0.2103  0.2283  0.2406  0.2598  0.2411  0.2397  0.2471  0.2437  0.2235  0.2168  0.2237  0.2291  0.2321  0.2644  0.3242  0.3028  0.2750  0.3000  0.3151  0.3120  0.3081
  0.2745  0.2826  0.2731  0.2826  0.2798  0.2817  0.2823  0.2713  0.2653  0.2338  0.2088  0.1749  0.1859  0.1970  0.1953  0.2019  0.2128  0.2197  0.2295  0.2283  0.2148  0.1959  0.2041  0.2000  0.2017  0.2112  0.2116  0.2156  0.2452  0.2869  0.2612  0.2445  0.2679  0.2829  0.2798  0.2841
  0.2617  0.2737  0.2627  0.2702  0.2637  0.2622  0.2616  0.2466  0.2652  0.2165  0.1857  0.1703  0.1778  0.1897  0.1914  0.1969  0.2023  0.1972  0.1969  0.2482  0.2243  0.1871  0.1654  0.1767  0.1953  0.2071  0.1879  0.2088  0.2351  0.2572  0.2275  0.2268  0.2597  0.2686  0.2663  0.2699
