 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
 00 00  1  1  1  1  1  1  1  1  1  1  1  1  1  1 00 00
