0    0.04483915 0.39496235 5.58817458
-1   0.04467375 0.39443393 5.25327345
-2   0.04447851 0.39361939 4.91801950
-3   0.04425281 0.39253806 4.58225437
-4   0.04399607 0.39122107 4.24582938
-5   0.04370776 0.38971125 3.90861271
-6   0.04338742 0.38806252 3.57049737
-7   0.04303462 0.38633859 3.23140958
-8   0.04264903 0.38461108 2.89131708
-9   0.04223041 0.38295686 2.55023662
-10  0.04177858 0.38145472 2.20823997
-11  0.04129350 0.38018152 1.86545749
-12  0.04077520 0.37920798 1.52207856
-13  0.04022387 0.37859439 1.17834828
-14  0.03963979 0.37838657 0.83456029
-15  0.03902341 0.37861241 0.49104585
-16  0.03837529 0.37927929 0.14815975
-17  0.03769619 0.38037273 6.08944954
-18  0.03698701 0.38185626 5.74889746
-19  0.03624883 0.38367275 5.41001616
-20  0.03548293 0.38574701 5.07309364
-21  0.03469079 0.38798940 4.73836803
-22  0.03387411 0.39030039 4.40602133
-23  0.03303483 0.39257541 4.07617755
-24  0.03217516 0.39470996 3.74890515
-25  0.03129755 0.39660442 3.42422302
-26  0.03040480 0.39816846 3.10210901
-27  0.02950002 0.39932490 2.78250998
-28  0.02858668 0.40001288 2.46535239
-29  0.02766867 0.40019037 2.15055256
-30  0.02675031 0.39983613 1.83802634
-31  0.02583642 0.39895100 1.52769789
-32  0.02493233 0.39755871 1.21950760
-33  0.02404396 0.39570589 0.91341911
-34  0.02317785 0.39346144 0.60942506
-35  0.02234116 0.39091483 0.30755060
-36  0.02154172 0.38817344 0.00785331
-37  0.02078794 0.38535853 5.99360285
-38  0.02008876 0.38260014 5.69852664
-39  0.01945346 0.38003078 5.40589996
-40  0.01889141 0.37777845 5.11577481
-41  0.01841173 0.37595923 4.82813018
-42  0.01802282 0.37467017 4.54283789
-43  0.01773180 0.37398293 4.25963767
-44  0.01754406 0.37393896 3.97812993
-45  0.01746274 0.37454650 3.69779166
-46  0.01748843 0.37577986 3.41801487
-47  0.01761911 0.37758097 3.13815991
-48  0.01785030 0.37986309 2.85761143
-49  0.01817536 0.38251629 2.57582431
-50  0.01858609 0.38541417 2.29235125
-51  0.01907318 0.38842122 2.00685023
-52  0.01962678 0.39140022 1.71907546
-53  0.02023695 0.39421908 1.42885841
-54  0.02089400 0.39675676 1.13608560
-55  0.02158872 0.39890805 0.84067775
-56  0.02231250 0.40058709 0.54257303
-57  0.02305747 0.40172977 0.24171509
-58  0.02381644 0.40229509 6.22123085
-59  0.02458294 0.40226579 5.91468564
-60  0.02535118 0.40164830 5.60519478
-61  0.02611596 0.40047213 5.29268504
-62  0.02687267 0.39878885 4.97708562
-63  0.02761720 0.39667038 4.65833637
-64  0.02834592 0.39420666 4.33639835
-65  0.02905563 0.39150253 4.01126575
-66  0.02974349 0.38867373 3.68297810
-67  0.03040705 0.38584213 3.35163137
-68  0.03104414 0.38313023 3.01738627
-69  0.03165291 0.38065533 2.68047246
-70  0.03223175 0.37852363 2.34118763
-71  0.03277933 0.37682476 1.99989100
-72  0.03329452 0.37562714 1.65699135
-73  0.03377642 0.37497457 1.31293058
-74  0.03422432 0.37488436 0.96816417
-75  0.03463770 0.37534706 0.62314022
-76  0.03501621 0.37632788 0.27827909
-77  0.03535965 0.37776949 6.21714064
-78  0.03566799 0.37959608 5.87366859
-79  0.03594131 0.38171810 5.53129269
-80  0.03617986 0.38403750 5.19018269
-81  0.03638396 0.38645282 4.85043367
-82  0.03655409 0.38886400 4.51207021
-83  0.03669078 0.39117659 4.17505369
-84  0.03679469 0.39330512 3.83929166
-85  0.03686654 0.39517569 3.50464817
-86  0.03690712 0.39672775 3.17095414
-87  0.03691730 0.39791517 2.83801701
-88  0.03689799 0.39870664 2.50562943
-89  0.03685013 0.39908563 2.17357662
-90  0.03677470 0.39905002 1.84164271
-91  0.03667273 0.39861137 1.50961621
-92  0.03654521 0.39779403 1.17729492
-93  0.03639318 0.39663409 0.84449055
-94  0.03621765 0.39517809 0.51103334
-95  0.03601962 0.39348157 0.17677672
-96  0.03580008 0.39160751 6.12478722
-97  0.03555996 0.38962441 5.78860773
-98  0.03530018 0.38760427 5.45137332
-99  0.03502160 0.38562039 5.11307317
-100 0.03472502 0.38374494 4.77373786
