57930	0.020588	0.4051	3.1923
57929	0.020354	0.4056	3.4941
57928	0.020078	0.40604	3.7958
57927	0.019799	0.4064	4.1025
57926	0.019438	0.40669	4.403
57925	0.019085	0.40688	4.7088
57924	0.018735	0.40699	5.0136
57923	0.018257	0.40701	5.3193
57922	0.017837	0.40695	5.625
57921	0.017404	0.4068	5.9318
57920	0.016841	0.40659	6.241
57919	0.016378	0.4063	0.26624
57918	0.015815	0.40596	0.57388
57917	0.01528	0.40556	0.8887
57916	0.014696	0.40512	1.1976
57915	0.014098	0.40465	1.5102
57914	0.01352	0.40415	1.8256
57913	0.012883	0.40364	2.1389
57912	0.01221	0.40311	2.4578
57911	0.011626	0.40259	2.7726
57910	0.010909	0.40208	3.0973
57909	0.010251	0.40159	3.4199
57908	0.009585	0.40112	3.7417
57907	0.008913	0.40069	4.076
57906	0.008222	0.40031	4.4119
57905	0.007523	0.39998	4.7421
57904	0.006901	0.39973	5.098
57903	0.006204	0.39954	5.4487
57902	0.005551	0.39945	5.818
57901	0.00496	0.39945	6.2014
57900	0.004382	0.39956	0.31946
57899	0.003857	0.39977	0.76515
57898	0.003439	0.40011	1.2124
57897	0.00313	0.40055	1.7227
57896	0.00298	0.40111	2.2538
57895	0.00293	0.40178	2.7866
57894	0.003088	0.40254	3.3154
57893	0.003366	0.40338	3.794
57892	0.003721	0.40429	4.2735
57891	0.004134	0.40524	4.6855
57890	0.004597	0.40621	5.0821
57889	0.005121	0.40718	5.4673
57888	0.0056	0.4081	5.8218
57887	0.006081	0.40897	6.1733
57886	0.006655	0.40975	0.22314
57885	0.007093	0.41041	0.55852
57884	0.00761	0.41094	0.88042
57883	0.008091	0.4113	1.196
57882	0.008556	0.41149	1.5121
57881	0.00904	0.41149	1.825
57880	0.00943	0.41129	2.1251
57879	0.009929	0.41089	2.4344
57878	0.010321	0.4103	2.7345
57877	0.010692	0.40952	3.0339
57876	0.011129	0.40857	3.3318
57875	0.011487	0.40747	3.6295
57874	0.011809	0.40626	3.9271
57873	0.012206	0.40496	4.22
57872	0.012506	0.40361	4.5165
57871	0.012856	0.40224	4.8138
57870	0.013149	0.40091	5.1042
57869	0.013484	0.39964	5.4011
