84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6	84.6
104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0
128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1	128.1
151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9	151.9
174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6	174.6
196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1	196.1
216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3	216.3
235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2	235.2
252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6	252.6
268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4	268.4
