0.08048	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08025	0.00000	0.08030	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.0    	0.0    	0.0    	0.0    	0.08065	0.00000	0.08056	0.00000	0.00000	0.08015	0.00000	0.08014	0.00000	0.00000	0.08029	0.00000
0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.07708	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.00000	0.08592	0.0    	0.0    	0.08239	0.08266	0.08155	0.08046	0.00000	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.08972	0.08981	0.09096	0.09082	0.09223	0.09453	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.09549	0.09282	0.09270	0.09577	0.09734	0.08609	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.0    	0.0    	0.10353	0.10402	0.09889	0.09947	0.09962	0.09812	0.09916	0.10242	0.10846	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.10928	0.10144	0.10132	0.10301	0.11047	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.0    	0.0    	0.11157	0.11259	0.11080	0.11013	0.10969	0.10900	0.10888	0.11049	0.11467	0.12148	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.11121	0.10435	0.11120	0.11505	0.11891	0.12285	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.0    	0.12810	0.13130	0.12803	0.12350	0.12119	0.12046	0.12020	0.11975	0.11984	0.12147	0.12584	0.0    	0.0    	0.0    	0.0    	0.0    	0.12098	0.11544	0.12007	0.12495	0.12644	0.12870	0.12804	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.0    	0.14103	0.14517	0.14128	0.13645	0.13417	0.13218	0.13097	0.12994	0.12930	0.12905	0.13080	0.0    	0.0    	0.0    	0.0    	0.13182	0.13432	0.13477	0.13707	0.13857	0.13724	0.13665	0.0    	0.15355	0.15823	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.0    	0.14937	0.15479	0.15342	0.14962	0.14590	0.14271	0.14061	0.13923	0.13794	0.13578	0.13369	0.0    	0.0    	0.0    	0.0    	0.14151	0.14689	0.14879	0.14868	0.14834	0.14467	0.14189	0.15007	0.15440	0.15952	0.16068	0.16396	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.15665	0.16195	0.16288	0.16190	0.15813	0.15411	0.15064	0.14843	0.14705	0.14475	0.14102	0.13950	0.14853	0.0    	0.0    	0.0    	0.14912	0.15585	0.15725	0.15652	0.15423	0.14916	0.14809	0.0    	0.0    	0.16108	0.16188	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.15690	0.16562	0.16751	0.16621	0.16305	0.15872	0.15537	0.15317	0.15130	0.14812	0.14465	0.14347	0.15054	0.0    	0.15933	0.15563	0.15390	0.16020	0.16143	0.15979	0.15619	0.15227	0.15330	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    
0.0    	0.0    	0.16396	0.16868	0.16832	0.16614	0.16334	0.16019	0.15759	0.15556	0.15379	0.15096	0.14817	0.14772	0.15354	0.0    	0.15920	0.15676	0.15734	0.16112	0.16231	0.16057	0.15743	0.15479	0.15617	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.15297	0.14847	0.0    	0.0    	0.0    
0.0    	0.16470	0.16515	0.16901	0.16797	0.16602	0.16393	0.16177	0.15971	0.15793	0.15639	0.15394	0.15175	0.15161	0.15660	0.0    	0.15636	0.15427	0.15570	0.16017	0.16187	0.16136	0.15896	0.15650	0.15593	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.15163	0.15453	0.0    	0.0    	0.0    
0.0    	0.16116	0.16487	0.16876	0.16790	0.16645	0.16478	0.16309	0.16132	0.15965	0.15798	0.15594	0.15455	0.15455	0.15901	0.16290	0.0    	0.14869	0.15491	0.15756	0.16038	0.16190	0.16049	0.15772	0.15299	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.14934	0.15951	0.0    	0.17282	0.17189
0.0    	0.15702	0.16366	0.16808	0.16746	0.16636	0.16486	0.16332	0.16160	0.15988	0.15814	0.15622	0.15539	0.15549	0.15910	0.16093	0.14602	0.0    	0.15024	0.15195	0.15715	0.16109	0.16129	0.15882	0.14890	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.14839	0.16132	0.17168	0.17091	0.16726
0.0    	0.15693	0.16032	0.16642	0.16590	0.16496	0.16346	0.16220	0.16052	0.15883	0.15701	0.15452	0.15413	0.15384	0.15729	0.15881	0.14978	0.15120	0.0    	0.14754	0.15321	0.15825	0.16053	0.15890	0.14478	0.0    	0.0    	0.0    	0.0    	0.0    	0.0    	0.15097	0.16222	0.17061	0.16865	0.15668
