  1  2  1240
  1  4  2985
  1  5  3350
  1  6  3863
  1  7  4393
  1  13  5.848857e+03
  1  14  5.545667e+03
  1  15  5.284571e+03
  1  22  2720
  2  2  2.491667e+03
  2  4  3.972500e+03
  2  5  3840
  2  6  4.144500e+03
  2  7  4418
  2  8  3157
  2  9  2.590273e+03
  2  12  2371
  2  13  1904
  2  14  5.081333e+03
  2  15  4.803714e+03
  2  19  4191
  3  2  1670
  3  3  4236
  3  4  4.779500e+03
  3  5  3932
  3  14  2730
  3  23  5276
  3  24  5.150500e+03
  3  26  1964
  3  31  3002
  4  2  615
  4  19  3.412375e+03
  4  20  3.870800e+03
  4  21  5.694500e+03
  4  22  5.102538e+03
  4  23  4.620017e+03
  4  24  5.722333e+03
  4  25  5.679375e+03
  4  26  4701
  4  27  4.267211e+03
  4  28  4.109333e+03
  4  29  2705
  5  2  2460
  5  3  4.049667e+03
  5  4  2895
  5  5  3370
  5  7  3288
  5  14  4535
  5  19  4.265083e+03
  5  20  4.035875e+03
  5  21  3.273889e+03
  5  22  3.663250e+03
  5  23  4441
  5  24  4.441455e+03
  5  25  3371
  5  26  4655
  5  27  5.501933e+03
  5  28  6.329667e+03
  6  3  3224
  6  4  24
  6  11  2660
  6  14  781
  6  15  5519
  6  16  3.434250e+03
  6  17  5.789667e+03
  6  18  2.011167e+03
  6  19  3364
  6  20  3761
  6  21  4.596429e+03
  6  22  5.614500e+03
  6  23  5771
  6  24  5.545250e+03
  6  25  5.660667e+03
  6  26  5.719625e+03
  6  27  6.007571e+03
  6  28  4.482692e+03
  6  29  5.556500e+03
  6  30  5.527778e+03
  6  31  5.276188e+03
  6  32  4.350857e+03
  7  4  1600
  7  5  141
  7  6  156
  7  7  2.141286e+03
  7  8  2.178500e+03
  7  9  2.036333e+03
  7  10  2.244750e+03
  7  11  2.762368e+03
  7  12  6927
  7  13  238
  7  14  4.098500e+03
  7  15  1.970500e+03
  7  16  3006
  7  17  2.408833e+03
  7  18  3.707833e+03
  7  19  4.007200e+03
  7  20  4.424600e+03
  7  21  4.503333e+03
  7  22  3.253286e+03
  7  23  4429
  7  24  4.836750e+03
  7  25  5.370750e+03
  7  26  5.498200e+03
  7  27  5.827500e+03
  7  28  5.114400e+03
  7  29  5.306625e+03
  7  30  5.047810e+03
  7  31  5.463900e+03
  7  32  4.762071e+03
  7  33  5055
  8  1  5.833750e+02
  8  6  1.665600e+03
  8  7  1.108429e+03
  8  8  9.598571e+02
  8  9  2.868333e+03
  8  10  3975
  8  11  3.883231e+03
  8  12  2.804333e+03
  8  13  1.737560e+03
  8  14  2.523660e+03
  8  15  4908
  8  16  4.977500e+03
  8  17  4.824900e+03
  8  18  4.102750e+03
  8  19  4.232800e+03
  8  20  4548
  8  21  4966
  8  22  5137
  8  23  5330
  8  25  4.559667e+03
  8  26  5.777375e+03
  8  27  5.424667e+03
  8  29  4.526500e+03
  8  30  5.556667e+03
  8  31  5.578167e+03
  8  32  5511
  8  33  3418
  9  1  5.998750e+02
  9  6  2.329125e+03
  9  7  3546
  9  8  5.363500e+03
  9  9  6.322667e+03
  9  10  5.175250e+03
  9  11  6.666500e+03
  9  12  4.007500e+03
  9  13  2.342842e+03
  9  14  3.088571e+03
  9  15  4.325625e+03
  9  16  5.408273e+03
  9  17  4.672400e+03
  9  18  5.513750e+03
  9  19  5468
  9  20  5.642500e+03
  9  21  5.261667e+03
  9  22  5.498600e+03
  9  23  5.344200e+03
  9  24  4520
  9  25  4.586833e+03
  9  26  5177
  9  27  4638
  9  28  5.466667e+03
  9  29  4382
  9  30  5.713333e+03
  9  31  5.807429e+03
  9  32  5.502556e+03
  10  1  1.136333e+03
  10  3  3953
  10  4  4388
  10  6  4802
  10  8  4912
  10  12  5244
  10  13  5.075538e+03
  10  14  5.378750e+03
  10  15  3.872714e+03
  10  16  5291
  10  17  5.384750e+03
  10  18  5296
  10  19  5.264333e+03
  10  21  5061
  10  22  5063
  10  23  5.432714e+03
  10  24  5.317889e+03
  10  25  4.744600e+03
  10  26  4864
  10  28  5.752167e+03
  10  29  5838
  10  30  5.381857e+03
  10  31  5.632571e+03
  10  32  5.216500e+03
  10  33  7011
  11  1  1.598294e+03
  11  4  4447
  11  7  5004
  11  9  5121
  11  10  5138
  11  11  4.302200e+03
  11  12  4365
  11  13  4.786750e+03
  11  14  3538
  11  15  5.209500e+03
  11  16  4948
  11  17  5.031200e+03
  11  18  4.634571e+03
  11  19  4.462571e+03
  11  20  3042
  11  21  5.232333e+03
  11  22  5.307667e+03
  11  23  5.446714e+03
  11  24  4.990647e+03
  11  25  3.515526e+03
  11  26  4.370785e+03
  11  27  5.607636e+03
  11  28  5.602571e+03
  11  29  5.762833e+03
  11  30  5.372100e+03
  11  31  5.284429e+03
  11  32  5065
  12  10  3633
  12  11  3797
  12  12  4.497750e+03
