  0.4102  0.4185  0.4422  0.4702  0.4699  0.4543  0.4434  0.4443  0.4601  0.4786  0.5557  0.5372  0.4392  0.4285  0.4379  0.4521  0.4476  0.4273
  0.3286  0.3542  0.4083  0.4192  0.4296  0.4258  0.4026  0.3377  0.3939  0.4272  0.4162  0.4193  0.3782  0.3318  0.3186  0.3312  0.3440  0.3307
  0.3140  0.3255  0.3839  0.4128  0.4172  0.4079  0.3605  0.3265  0.3181  0.3438  0.3920  0.3907  0.3301  0.3198  0.2921  0.2927  0.3075  0.3239
  0.3123  0.3214  0.3816  0.3980  0.3852  0.3704  0.3102  0.2895  0.2922  0.3098  0.3178  0.3129  0.2826  0.2659  0.2835  0.2877  0.3321  0.3329
  0.3851  0.3474  0.3650  0.3220  0.2948  0.3054  0.2737  0.2575  0.2562  0.2489  0.2266  0.2396  0.2533  0.2852  0.2783  0.2633  0.2653  0.3658
  0.3419  0.3048  0.2708  0.2321  0.2420  0.2874  0.3016  0.2323  0.2162  0.1986  0.1953  0.2105  0.2634  0.2903  0.2745  0.2581  0.2252  0.2794
  0.2811  0.2386  0.2011  0.1846  0.2145  0.2759  0.2849  0.2273  0.2220  0.1751  0.1967  0.2133  0.2400  0.2625  0.2502  0.2388  0.2145  0.2395
  0.2487  0.2391  0.2011  0.2079  0.2403  0.2796  0.2887  0.2533  0.2236  0.2313  0.1912  0.2249  0.2680  0.2814  0.2605  0.2181  0.1912  0.2170
  0.2768  0.2356  0.2245  0.2116  0.2055  0.2114  0.2351  0.2644  0.2704  0.3004  0.2144  0.2418  0.2463  0.2873  0.2898  0.1985  0.2040  0.2193
  0.2780  0.2604  0.1981  0.1562  0.1498  0.1491  0.1734  0.2105  0.2498  0.3015  0.2440  0.2058  0.2154  0.2735  0.2945  0.1995  0.2168  0.2309
  0.2298  0.2135  0.2591  0.2651  0.2369  0.1836  0.1679  0.2247  0.2443  0.3007  0.2806  0.2007  0.2274  0.2450  0.2809  0.1814  0.1993  0.2537
  0.2108  0.2326  0.2203  0.2625  0.2755  0.2419  0.1939  0.2176  0.2405  0.2942  0.3154  0.2141  0.2369  0.2465  0.2828  0.2007  0.1988  0.2494
  0.2186  0.2816  0.2410  0.2330  0.2644  0.2818  0.2531  0.2337  0.2476  0.2740  0.3039  0.2320  0.2217  0.2159  0.2783  0.2219  0.2095  0.2426
  0.2290  0.2894  0.2702  0.2437  0.2505  0.2802  0.2893  0.2650  0.2533  0.2588  0.2809  0.2786  0.2431  0.2135  0.2842  0.2517  0.2434  0.2491
  0.2988  0.2764  0.2837  0.2876  0.2801  0.3091  0.3269  0.3332  0.3253  0.2924  0.2721  0.3266  0.3230  0.2986  0.2880  0.3148  0.3220  0.3179
  0.3777  0.3727  0.3557  0.3531  0.3588  0.3804  0.3857  0.3878  0.3843  0.3601  0.3283  0.3811  0.3835  0.3821  0.3744  0.3762  0.3817  0.3781
  0.4104  0.4143  0.4236  0.4216  0.4328  0.4261  0.4162  0.4068  0.4011  0.3959  0.4015  0.4095  0.4025  0.3995  0.3991  0.4009  0.4067  0.4118
  0.6237  0.6252  0.6085  0.5391  0.5120  0.5057  0.5162  0.5136  0.5098  0.5526  0.4969  0.5000  0.5426  0.5567  0.5755  0.6125  0.5873  0.6169
