 
------------------------------------------------------------
   Hello! Welcome to muffingen v0.87
   We are going to make a GREAT model configuration!
------------------------------------------------------------
 
>   1. CHECKING PRIMARY OPTIONS ...
       * A high resolution topography (only) file: INPUT/M2020_merge_Haq60_15_1deg
>   2. CREATING GENIE GRID ...
       - GENIE grid generated.
>   3. READING AXES INFORMATION ...
>   4. READING MASK & TOPO GRIDS ...
       - Mask & topo info read.
>   5. RE-GRIDING MASK ...
       - Mask re-gridded.
       * Original land area fraction    = 0.28858
       * Re-gridded land area fraction  = 0.28935
>   6. FILTERING MASK ...
       - Single cell embayments filtered out.
       - Polar connections cleaned up.
       * found 1 water masses
       * found 2 water masses
       - Small water bodies cleaned up.
       * Revised land area fraction = 0.29707
>   7. USER EDITING OF MASK ...
       * Mask alteration procedure :
         (1) left button to turn grid cell to ocean
         (2) right button to turn grid cell to land
         (3) middle button, or clickoutside the grid, to finish
         -> Cell at (1, 35) now land
         -> Cell at (2, 35) now land
         -> Cell at (33, 14) now land
         -> Cell at (33, 13) now land
         -> Cell at (33, 12) now land
         -> Cell at (36, 1) now land
         -> Cell at (1, 1) now land
         -> Cell at (2, 1) now land
         -> Cell at (3, 1) now land
         -> Cell at (6, 1) now land
         -> Cell at (7, 1) now land
         -> Cell at (8, 1) now land
         -> Cell at (9, 1) now land
         -> Cell at (11, 1) now land
         -> Cell at (12, 1) now land
         -> Cell at (9, 24) now land
         -> Cell at (11, 22) now land
         -> Cell at (12, 21) now land
         -> Cell at (35, 2) now land
         -> Cell at (34, 2) now land
         -> Cell at (14, 36) now land
         -> Cell at (13, 36) now land
       - Out of grid range
       * Mask alteration complete
       * Revised land area fraction = 0.31404
       - User-editing complete.
>   8. CREATE FINAL MASK ...
       - .mask_out.FINAL.dat saved
       * Final land area fraction   = 0.31404
>   9. RE-GRIDING TOPOGRAPHY ...
       - Topography re-gridded.
>   10. RE-GRIDING OCEAN BATHYMETRY ...
       - Bathymetry re-gridding complete.
>  11. FILTERING BATHYMETRY ...
         -> MAKE SHALLOWER :: Loop count = 1 @ (1,26,1); s = 3; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (2,35,2); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (3,1,9); s = 2; l = 1
         -> MAKE DEEPER :: Loop count = 1 @ (3,2,16); d = 2; l = 2
         -> MAKE SHALLOWER :: Loop count = 1 @ (3,35,2); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (4,35,2); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (5,3,2); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (5,30,1); s = 3; l = 0
         -> MAKE DEEPER :: Loop count = 1 @ (6,3,4); d = 2; l = 2
         -> MAKE SHALLOWER :: Loop count = 1 @ (7,1,4); s = 2; l = 2
         -> MAKE DEEPER :: Loop count = 1 @ (7,6,10); d = 3; l = 1
         -> MAKE DEEPER :: Loop count = 1 @ (7,33,4); d = 4; l = 0
         -> MAKE DEEPER :: Loop count = 1 @ (8,10,7); d = 2; l = 2
         -> MAKE SHALLOWER :: Loop count = 1 @ (8,35,1); s = 3; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,11,2); s = 3; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,12,7); s = 2; l = 1
         -> MAKE DEEPER :: Loop count = 1 @ (10,13,13); d = 2; l = 2
         -> MAKE DEEPER :: Loop count = 1 @ (10,15,5); d = 2; l = 2
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,17,2); s = 3; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,18,2); s = 4; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,21,2); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,22,2); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,23,2); s = 3; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,24,2); s = 3; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (10,31,3); s = 3; l = 0
