  1  3  4270  2.610000e+00
  1  4  2460  7.000000e-02
  1  5  3138  1.400000e-01
  1  6  3845  8.000000e-02
  1  7  4.042500e+03  5.500000e-02
  1  10  4624  5.000000e-02
  2  4  3856  3.300000e-01
  2  5  3.801333e+03  3.666667e-02
  3  2  4138  1.040000e+00
  6  3  3224  4.900000e-01
  6  18  1598  3.000000e-01
  6  19  2766  4.700000e-01
  6  20  3490  2.400000e-01
  6  28  4584  1.366667e-01
  7  17  2300  9.000000e-02
  7  18  4169  2.600000e-01
  7  19  3120  3.500000e-01
  7  28  5894  6.000000e-02
  7  29  5.703500e+03  1.600000e-01
  7  30  5656  3.000000e-01
  7  31  5246  5.100000e-01
  7  32  4.077500e+03  2.750000e-01
  8  18  4252  1.600000e-01
  8  30  4312  1.900000e-01
  8  31  5.629500e+03  2.250000e-01
  9  28  5.444500e+03  5.500000e-02
  9  29  4.445500e+03  1.950000e-01
  9  30  5.609500e+03  8.500000e-02
  9  31  5.748500e+03  1.800000e-01
  9  32  5563  1.500000e-01
  10  28  5806  5.000000e-02
  10  29  5804  6.000000e-02
  10  30  5.672500e+03  2.000000e-01
  10  31  5472  2.050000e-01
  10  32  5013  1.700000e-01
  11  28  5720  3.000000e-02
  11  29  5764  4.000000e-02
  11  30  5081  3.000000e-02
  11  31  5365  1.000000e-01
  11  32  5167  1.200000e-01
  12  19  4364  2.200000e-01
  12  28  5788  4.000000e-02
  12  30  4.783500e+03  5.000000e-02
  12  31  4.477500e+03  1.700000e-01
  13  19  4.443333e+03  1.733333e-01
  13  28  4934  6.000000e-02
  13  30  3749  4.000000e-02
  13  31  4263  5.000000e-02
  13  32  3711  2.200000e-01
  14  4  2964  9.400000e-01
  15  19  4191  1.200000e-01
  18  27  324  1.250000e+00
  19  29  3942  2.020000e+00
  19  30  2867  3.200000e-01
  20  29  4349  1.630000e+00
  20  30  3.027500e+03  4.370000e+00
  22  7  5110  6.500000e-01
  22  20  3.727333e+03  4.766667e-01
  22  25  4372  4.800000e-01
  22  26  4565  6.900000e-01
  22  28  3924  2.900000e-01
  22  29  4.467667e+03  1.485000e+00
  22  33  3401  4.050000e-01
  23  9  2795  9.000000e-02
  23  19  3824  2.400000e-01
  23  20  4.001500e+03  5.500000e-01
  23  24  4868  4.700000e-01
  23  29  3.425667e+03  3.500000e-01
  23  30  3427  1.600000e-01
  23  31  3209  2.100000e-01
  23  32  2165  9.500000e-01
  23  33  3466  8.600000e-01
  24  4  5229  9.900000e-01
  24  5  4484  4.300000e-01
  24  6  3762  1.190000e+00
  24  18  3706  1.100000e-01
  24  19  4.165833e+03  3.216667e-01
  24  20  3.614857e+03  3.264286e-01
  24  21  4.102333e+03  3.533333e-01
  24  22  4.828500e+03  5.750000e-01
  24  23  4.218500e+03  4.800000e-01
  24  24  3717  5.950000e-01
  24  25  4579  4.400000e-01
  24  28  3257  7.100000e-01
  24  31  3076  1.850000e-01
  24  32  3962  6.850000e-01
  24  33  3974  7.500000e-01
  25  6  2714  6.900000e-01
  25  8  3308  2.000000e-01
  25  15  2630  5.000000e-02
  25  19  5.053500e+03  3.650000e-01
  25  20  2811  1.600000e-01
  25  21  4.375818e+03  4.254545e-01
  25  22  4512  5.550000e-01
  25  23  3167  7.500000e-01
  25  25  3409  4.300000e-01
  25  26  3.423667e+03  5.833333e-01
  25  31  4513  6.100000e-01
  25  32  4500  4.450000e-01
  26  4  1754  4.500000e-01
  26  5  3.385500e+03  1.080000e+00
  26  6  4171  1.500000e-01
  27  4  3634  4.500000e-01
  27  5  3636  7.000000e-01
  27  12  4301  1.500000e-01
  28  9  3103  2.000000e-01
  28  11  4191  8.000000e-02
  28  12  3204  4.300000e-01
  29  5  5314  1.100000e-01
  29  6  5451  7.000000e-01
  31  6  4330  1.860000e+00
  31  7  2692  2.200000e-01
  31  8  3288  1.200000e-01
  32  6  3262  2.200000e-01
  32  21  2867  1.100000e-01
  33  14  3409  2.700000e-01
  33  17  3882  1.700000e-01
  34  4  1780  2.000000e-01
  34  6  3193  2.650000e+00
  34  7  3312  6.000000e-02
  35  7  3418  1.900000e-01
  35  8  2350  2.500000e-01
  35  15  2869  1.100000e-01
  35  17  3808  9.000000e-02
  35  18  3021  1.600000e-01
  36  8  4343  1.600000e-01
  36  10  3454  7.000000e-02
