	0	5	15	25	35	45	55	65	75	85	95	105	115	125	135	145	155	165	175	185	195	205	215	225	235	245	255	265	275	285	295	305	315	325	335	345	355	365	375	385	395
10	2.35E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.35E-01	2.35E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.33E-01	2.33E-01	2.33E-01	2.37E-01	2.42E-01	2.44E-01	2.44E-01	2.34E-01	2.34E-01	
20	2.35E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.35E-01	2.35E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.33E-01	2.33E-01	2.33E-01	2.37E-01	2.42E-01	2.44E-01	2.44E-01	2.34E-01	2.34E-01	
30	2.35E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.35E-01	2.35E-01	2.35E-01	2.33E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.33E-01	2.33E-01	2.33E-01	2.37E-01	2.42E-01	2.44E-01	2.44E-01	2.34E-01	2.34E-01	
50	2.35E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.36E-01	2.35E-01	2.35E-01	2.35E-01	2.35E-01	2.33E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.34E-01	2.33E-01	2.33E-01	2.33E-01	2.33E-01	2.37E-01	2.42E-01	2.44E-01	2.44E-01	2.34E-01	2.34E-01	
75	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.72E-01	1.71E-01	1.71E-01	1.70E-01	1.71E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.71E-01	1.73E-01	1.74E-01	1.59E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.70E-01	1.68E-01	1.68E-01	1.68E-01	1.68E-01	1.68E-01	
100	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.34E-01	1.33E-01	1.33E-01	1.33E-01	1.33E-01	1.33E-01	1.33E-01	1.33E-01	1.33E-01	1.32E-01	1.32E-01	1.34E-01	1.35E-01	1.20E-01	1.29E-01	1.32E-01	1.32E-01	1.32E-01	1.32E-01	1.31E-01	1.31E-01	1.31E-01	1.31E-01	1.31E-01	1.31E-01	1.31E-01	1.31E-01	1.31E-01	1.31E-01	
125	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.10E-01	1.09E-01	1.09E-01	1.09E-01	1.09E-01	1.09E-01	1.09E-01	1.09E-01	1.09E-01	1.10E-01	1.11E-01	1.02E-01	1.05E-01	1.08E-01	1.08E-01	1.08E-01	1.08E-01	1.08E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	1.07E-01	
150	9.38E-02	9.37E-02	9.36E-02	9.36E-02	9.35E-02	9.34E-02	9.33E-02	9.33E-02	9.32E-02	9.31E-02	9.24E-02	9.25E-02	9.25E-02	9.25E-02	9.24E-02	9.23E-02	9.23E-02	9.25E-02	9.36E-02	9.41E-02	8.73E-02	8.74E-02	8.78E-02	9.18E-02	9.24E-02	9.26E-02	9.16E-02	9.16E-02	9.15E-02	9.15E-02	9.11E-02	9.11E-02	9.11E-02	9.11E-02	9.10E-02	9.10E-02	9.10E-02	9.10E-02	9.10E-02	9.10E-02	
200	7.25E-02	7.23E-02	7.22E-02	7.21E-02	7.20E-02	7.19E-02	7.19E-02	7.18E-02	7.17E-02	7.15E-02	7.13E-02	7.13E-02	7.13E-02	7.12E-02	7.12E-02	7.11E-02	7.12E-02	7.20E-02	7.23E-02	6.80E-02	6.82E-02	6.85E-02	6.88E-02	7.11E-02	7.12E-02	7.19E-02	7.18E-02	7.16E-02	7.15E-02	7.15E-02	7.14E-02	7.14E-02	7.14E-02	7.13E-02	7.13E-02	7.12E-02	7.11E-02	7.10E-02	7.05E-02	7.04E-02	
