 14000    0.04666    0.39436    4.00027  209.93278
 14001    0.04680    0.39255    4.29917  192.11534
 14002    0.04688    0.39073    4.59413  174.74640
 14003    0.04688    0.38896    4.88850  157.64909
 14004    0.04688    0.38729    5.17861  141.02630
 14005    0.04684    0.38579    5.46607  124.76238
 14006    0.04673    0.38450    5.75392  108.64558
 14007    0.04664    0.38351    6.03823   92.83927
 14008    0.04642    0.38281    0.04051   77.02067
 14009    0.04628    0.38249    0.32655   61.15491
 14010    0.04599    0.38252    0.61363   45.14879
 14011    0.04569    0.38294    0.90336   28.85394
 14012    0.04541    0.38373    1.19518   12.25601
 14013    0.04501    0.38489    1.49066  360.46389
 14014    0.04458    0.38637    1.78961  342.99947
 14015    0.04416    0.38814    2.08882  325.30034
 14016    0.04365    0.39014    2.39364  307.07545
 14017    0.04311    0.39227    2.69682  288.80738
 14018    0.04252    0.39452    3.00006  270.45718
 14019    0.04193    0.39678    3.30271  252.13216
 14020    0.04128    0.39899    3.60258  234.03023
 14021    0.04054    0.40110    3.89770  216.32769
 14022    0.03989    0.40302    4.18985  198.95023
 14023    0.03911    0.40469    4.47684  182.06199
 14024    0.03832    0.40611    4.75907  165.63499
 14025    0.03756    0.40720    5.03747  149.60310
 14026    0.03673    0.40793    5.31134  133.98539
 14027    0.03590    0.40830    5.58389  118.56227
 14028    0.03505    0.40828    5.85134  103.50832
 14029    0.03422    0.40790    6.11900   88.48101
 14030    0.03335    0.40714    0.10351   73.44972
 14031    0.03246    0.40602    0.36836   58.53702
 14032    0.03158    0.40460    0.63631   43.37426
 14033    0.03074    0.40289    0.90441   28.10317
 14034    0.02979    0.40094    1.17393   12.62632
 14035    0.02895    0.39883    1.44515  362.16992
 14036    0.02808    0.39660    1.71801  346.25053
 14037    0.02718    0.39431    1.99247  330.12040
 14038    0.02636    0.39203    2.26777  313.84978
 14039    0.02550    0.38982    2.54107  297.62664
 14040    0.02471    0.38772    2.81943  281.06430
 14041    0.02390    0.38581    3.09066  264.91598
 14042    0.02314    0.38415    3.36325  248.70628
 14043    0.02243    0.38275    3.63492  232.59340
 14044    0.02173    0.38167    3.90070  216.89221
 14045    0.02106    0.38093    4.16519  201.34078
 14046    0.02056    0.38054    4.42630  186.06069
 14047    0.01995    0.38049    4.68380  171.07787
 14048    0.01949    0.38078    4.93754  156.38134
 14049    0.01912    0.38141    5.18654  142.02145
 14050    0.01873    0.38231    5.43646  127.66665
 14051    0.01845    0.38349    5.67969  113.73490
 14052    0.01826    0.38489    5.92073   99.95676
 14053    0.01805    0.38645    6.16421   86.05583
 14054    0.01800    0.38814    0.11898   72.47345
 14055    0.01789    0.38993    0.35761   58.84256
 14056    0.01794    0.39173    0.59845   45.06695
 14057    0.01796    0.39354    0.83833   31.31162
 14058    0.01802    0.39532    1.07823   17.51275
 14059    0.01819    0.39704    1.32346    3.35907
 14060    0.01830    0.39864    1.56705  354.47695
 14061    0.01846    0.40013    1.81700  339.92255
 14062    0.01869    0.40148    2.06497  325.42340
 14063    0.01887    0.40270    2.32038  310.42239
 14064    0.01907    0.40372    2.57679  295.30770
 14065    0.01934    0.40458    2.83257  280.18864
 14066    0.01955    0.40525    3.09598  264.58783
 14067    0.01980    0.40573    3.35841  249.03489
 14068    0.02003    0.40600    3.62027  233.52576
 14069    0.02029    0.40607    3.88748  217.72969
 14070    0.02053    0.40594    4.15308  202.07866
 14071    0.02073    0.40560    4.41751  186.56458
 14072    0.02100    0.40508    4.68521  170.93430
 14073    0.02123    0.40436    4.94965  155.58200
