14000 0.046661 0.39436 3.9652 209.93
14001 0.046799 0.39255 4.2565 192.12
14002 0.046884 0.39073 4.5476 174.75
14003 0.046875 0.38896 4.8422 157.65
14004 0.046877 0.38729 5.1365 141.03
14005 0.046836 0.38579 5.4316 124.76
14006 0.046731 0.3845 5.7301 108.65
14007 0.046636 0.38351 6.0268 92.839
14008 0.046416 0.38281 0.042412 77.021
14009 0.046282 0.38249 0.34156 61.155
14010 0.045989 0.38252 0.64036 45.149
14011 0.045693 0.38294 0.93951 28.854
14012 0.045413 0.38373 1.2376 12.256
14013 0.045008 0.38489 1.5356 360.46
14014 0.044585 0.38637 1.833 343
14015 0.044159 0.38814 2.127 325.3
14016 0.043652 0.39014 2.4231 307.08
14017 0.043113 0.39227 2.7152 288.81
14018 0.042523 0.39452 3.006 270.46
14019 0.041929 0.39678 3.2961 252.13
14020 0.041284 0.39899 3.5844 234.03
14021 0.040537 0.4011 3.8701 216.33
14022 0.039893 0.40302 4.1555 198.95
14023 0.039105 0.40469 4.4389 182.06
14024 0.038322 0.40611 4.7208 165.63
14025 0.037556 0.4072 5.0018 149.6
14026 0.03673 0.40793 5.2808 133.99
14027 0.035903 0.4083 5.5606 118.56
14028 0.035052 0.40828 5.8366 103.51
14029 0.034216 0.4079 6.1134 88.481
14030 0.033351 0.40714 0.10699 73.45
14031 0.032458 0.40602 0.38013 58.537
14032 0.031581 0.4046 0.6552 43.374
14033 0.030739 0.40289 0.92869 28.103
14034 0.029787 0.40094 1.2015 12.626
14035 0.028947 0.39883 1.4739 362.17
14036 0.028083 0.3966 1.7458 346.25
14037 0.027175 0.39431 2.0172 330.12
14038 0.026358 0.39203 2.2879 313.85
14039 0.025505 0.38982 2.5554 297.63
14040 0.024706 0.38772 2.8272 281.06
14041 0.0239 0.38581 3.0919 264.92
14042 0.023139 0.38415 3.3582 248.71
14043 0.022433 0.38275 3.6244 232.59
14044 0.021732 0.38167 3.8858 216.89
14045 0.021063 0.38093 4.1473 201.34
14046 0.020555 0.38054 4.4066 186.06
14047 0.019945 0.38049 4.6639 171.08
14048 0.019495 0.38078 4.9185 156.38
14049 0.019123 0.38141 5.1695 142.02
14050 0.018729 0.38231 5.4224 127.67
14051 0.018453 0.38349 5.6692 113.73
14052 0.01826 0.38489 5.9142 99.957
14053 0.01805 0.38645 6.1621 86.056
14054 0.017997 0.38814 0.12113 72.473
14055 0.017889 0.38993 0.3639 58.843
14056 0.017942 0.39173 0.6086 45.067
14057 0.017957 0.39354 0.85172 31.312
14058 0.018023 0.39532 1.0941 17.513
14059 0.018188 0.39704 1.3411 3.3591
14060 0.018304 0.39864 1.5854 354.48
14061 0.018457 0.40013 1.8349 339.92
14062 0.018695 0.40148 2.0814 325.42
14063 0.018874 0.4027 2.3342 310.42
14064 0.019074 0.40372 2.587 295.31
14065 0.019344 0.40458 2.8384 280.19
14066 0.019553 0.40525 3.0969 264.59
14067 0.0198 0.40573 3.3542 249.03
14068 0.020027 0.406 3.6111 233.53
14069 0.020288 0.40607 3.8738 217.73
14070 0.020526 0.40594 4.1357 202.08
14071 0.020732 0.4056 4.3977 186.56
14072 0.021005 0.40508 4.6642 170.93
14073 0.021232 0.40436 4.929 155.58
14074 0.02143 0.40347 5.1981 140.15
14075 0.021681 0.40241 5.465 125.01
14076 0.021927 0.40118 5.7355 109.79
14077 0.022084 0.39981 6.0078 94.587
14078 0.022356 0.3983 6.2771 79.604
14079 0.022524 0.3967 0.26861 64.335
14080 0.022744 0.395 0.54315 49.039
14081 0.022901 0.39322 0.81716 33.682
14082 0.023083 0.39142 1.0938 18.048
14083 0.023265 0.38962 1.3734 2.0726
14084 0.023361 0.38787 1.6503 351.28
14085 0.023523 0.38618 1.9328 334.72
14086 0.023663 0.38462 2.2138 318.04
14087 0.023727 0.38323 2.4984 300.95
14088 0.023862 0.38205 2.7832 283.71
